公共
错误码从 50000 到 53999

通用类
错误提示	HTTP 状态码	错误码
操作成功	200	0
操作全部失败	200	1
批量操作部分成功	200	2
body不能为空	400	50000
服务暂时不可用，请稍后重试	503	50001
非法的json数据	400	50002
接口请求超时（不代表请求成功或者失败，请检查请求结果）	400	50004
接口已下线或无法使用	410	50005
无效的Content_Type，请使用"application/json"格式	400	50006
用户被冻结	200	50007
用户不存在	200	50008
用户处于爆仓冻结	200	50009
用户ID为空	200	50010
用户请求频率过快，超过该接口允许的限额	429	50011
用户状态无效	200	50012
当前系统繁忙，请稍后重试	429	50013
必填参数{0}不能为空	400	50014
参数{0}和{1}不能同时为空	400	50015
参数{0}和{1}不匹配	400	50016
当前仓位处于ADL冻结中，无法进行相关操作	200	50017
{0}币种处于ADL冻结中，无法进行相关操作	200	50018
当前账户处于ADL冻结中，无法进行相关操作	200	50019
当前仓位处于强平冻结中，无法进行相关操作	200	50020
{0}币种处于强平冻结中，无法进行相关操作	200	50021
当前账户处于强平冻结中，无法进行相关操作	200	50022
资金费冻结，无法进行相关操作	200	50023
参数{0}和{1}不能同时存在	200	50024
参数{0}传值个数超过最大限制{1}	200	50025
系统错误	500	50026
当前账户已被限制交易	200	50027
账户异常无法下单	200	50028
你的账户已经触发风控体系，禁止该标的{0}交易，请联系客服进行处理	200	50029
用户没有使用此API接口的权限	200	50030
设置币种数量不能大于100个	200	50031
您的账户已设置禁止该币种交易，请确认后重试	200	50032
您的账户已设置禁止该业务线交易，请确认后重试	200	50033
API 类
错误提示	HTTP 状态码	错误码
Api 已被冻结，请联系客服处理	400	50100
APIKey 与当前环境不匹配	401	50101
请求时间戳过期	401	50102
请求头"OK_ACCESS_KEY"不能为空	401	50103
请求头"OK_ACCESS_PASSPHRASE"不能为空	401	50104
请求头"OK_ACCESS_PASSPHRASE"错误	401	50105
请求头"OK_ACCESS_SIGN"不能为空	401	50106
请求头"OK_ACCESS_TIMESTAMP"不能为空	401	50107
券商ID不存在	401	50108
券商域名不存在	401	50109
无效的ip	401	50110
无效的OK_ACCESS_KEY	401	50111
无效的OK_ACCESS_TIMESTAMP	401	50112
无效的签名	401	50113
无效的授权	401	50114
无效的请求类型	405	50115
交易类
错误提示	HTTP 状态码	错误码
{0}参数错误	400	51000
交易产品ID不存在	200	51001
交易产品ID不匹配指数	200	51002
ordId或clOrdId至少填一个	200	51003
委托数量超过用户当前档位	200	51004
委托数量大于单笔上限	200	51005
委托价格不在限价范围内	200	51006
委托失败，委托数量不可小于 1 张（用户下单数量不足 1 张时）	200	51007
委托失败，账户可用余额不足	200	51008
下单功能被平台冻结	200	51009
当前账户模式不支持此操作	200	51010
ordId重复	200	51011
币种不存在	200	51012
指数不存在	200	51014
instId和instType不匹配	200	51015
clOrdId重复	200	51016
杠杆委托交易借币超出限额	200	51017
期权交易账户不能有净空头持仓	200	51018
期权全仓不能有净多头持仓	200	51019
委托数量必须超过单笔下限	200	51020
合约待上线	200	51021
合约暂停中	200	51022
仓位不存在	200	51023
统一账户冻结	200	51024
委托笔数超限	200	51025
交易产品类型不匹配指数（instType和uly不匹配）	200	51026
合约已到期	200	51027
合约交割中	200	51028
